\begin{deluxetable*}{cccccc}
\tabletypesize{\footnotesize}
\tablecaption{Unique frequencies, amplitudes, phases, and formal errors for HD 268687 found via prewhitening, as well as the signal to noise ratio, defined in text.\label{tab:HD 268687_freqs}}
\tablehead{\colhead{$f_j$} & \colhead{$\epsilon(f_j)$} & \colhead{$A_j$} & \colhead{$\epsilon(A_j)$} & \colhead{$\phi_j$} &  \colhead{$\epsilon(\phi_j)$} \\
\colhead{[day$^{-1}$]} & \colhead{[day$^{-1}$]} & \colhead{[ppt]} & \colhead{[ppt]} & \colhead{[radians]} & \colhead{[radians]}  } 
\startdata
$0.33981559$ & $0.00016013$ & $0.99396295$ & $0.016230$ & $2.092$ & $0.01633$ \\ 
$0.08920241$ & $0.00018662$ & $0.80772984$ & $0.015371$ & $1.564$ & $0.01903$ \\ 
$0.15510687$ & $0.00020617$ & $0.70324644$ & $0.014784$ & $-1.624$ & $0.02102$ \\ 
$0.27854537$ & $0.00024130$ & $0.58182295$ & $0.014316$ & $-0.782$ & $0.0246$ \\ 
$0.42764474$ & $0.00023359$ & $0.58723924$ & $0.013988$ & $-0.7239$ & $0.02382$ \\ 
$0.12802564$ & $0.00026270$ & $0.49788111$ & $0.013337$ & $1.433$ & $0.02679$ \\ 
$0.63934778$ & $0.00026317$ & $0.48760456$ & $0.013085$ & $-3.083$ & $0.02684$ \\ 
$0.04723986$ & $0.00032221$ & $0.37892065$ & $0.012449$ & $2.378$ & $0.03285$ \\ 
$0.22510722$ & $0.00031700$ & $0.38006651$ & $0.012285$ & $-2.111$ & $0.03232$ \\ 
$0.53353809$ & $0.00032444$ & $0.36148395$ & $0.011959$ & $-2.517$ & $0.03308$ \\ 
$0.49649588$ & $0.00039730$ & $0.29148694$ & $0.011809$ & $-2.34$ & $0.04051$ \\ 
$0.68791268$ & $0.00041399$ & $0.27292858$ & $0.011521$ & $-1.994$ & $0.04221$ \\ 
$1.34086866$ & $0.00045333$ & $0.24730899$ & $0.011432$ & $-2.512$ & $0.04623$ \\ 
$0.37663919$ & $0.00048990$ & $0.22604532$ & $0.011292$ & $-2.211$ & $0.04995$ \\ 
$0.91512039$ & $0.00049874$ & $0.21952667$ & $0.011164$ & $2.409$ & $0.05086$ \\ 
$1.84286938$ & $0.00049901$ & $0.21823149$ & $0.011104$ & $-1.178$ & $0.05088$ \\ 
$0.73238778$ & $0.00054246$ & $0.19967911$ & $0.011045$ & $2.995$ & $0.05531$ \\ 
$0.80885741$ & $0.00057409$ & $0.18694716$ & $0.010944$ & $-1.479$ & $0.05854$ \\ 
$0.56637230$ & $0.00058752$ & $0.18116978$ & $0.010854$ & $-0.1779$ & $0.05991$ \\ 
$0.94887342$ & $0.00059490$ & $0.17821977$ & $0.010811$ & $0.5464$ & $0.06066$ \\ 
$2.76492751$ & $0.00062369$ & $0.16936638$ & $0.010771$ & $0.0375$ & $0.0636$ \\ 
$0.86314365$ & $0.00069636$ & $0.15073177$ & $0.010703$ & $-0.4226$ & $0.07101$ \\ 
$0.77723411$ & $0.00076226$ & $0.13697958$ & $0.010647$ & $-1.605$ & $0.07773$ \\ 
$1.20371478$ & $0.00083481$ & $0.12400270$ & $0.010556$ & $0.6327$ & $0.08512$ \\ 
$3.68650176$ & $0.00097373$ & $0.10559870$ & $0.010485$ & $-0.9334$ & $0.09929$ \\ 
$0.99151843$ & $0.00101754$ & $0.10078308$ & $0.010457$ & $2.364$ & $0.1038$ \\ 
$0.46094861$ & $0.00124317$ & $0.08212864$ & $0.010411$ & $-1.058$ & $0.1268$ \\ 
$1.28252486$ & $0.00126920$ & $0.08030607$ & $0.010393$ & $2.774$ & $0.1294$ \\ 
$1.41451720$ & $0.00145098$ & $0.07008822$ & $0.010370$ & $0.1645$ & $0.148$ \\ 
$1.58281137$ & $0.00152920$ & $0.06630589$ & $0.010339$ & $-1.748$ & $0.1559$ \\ 
$1.63275628$ & $0.00163583$ & $0.06188241$ & $0.010322$ & $-1.346$ & $0.1668$ \\ 
$1.07507415$ & $0.00166747$ & $0.06067859$ & $0.010317$ & $2.857$ & $0.17$ \\ 
$4.60899785$ & $0.00171384$ & $0.05900802$ & $0.010312$ & $-3.103$ & $0.1748$ \\ 

\enddata
\end{deluxetable*}
